object,color,seed,prompt,image_path,object_raw,color_raw,object_predicted,color_predicted,binding_correct
polar bear,blue,0,a photo of a blue polar bear,polar_bear/blue/seed_0000.png,polar bear,white,polar bear,white,False
polar bear,blue,1,a photo of a blue polar bear,polar_bear/blue/seed_0001.png,polar bear,white,polar bear,white,False
polar bear,blue,2,a photo of a blue polar bear,polar_bear/blue/seed_0002.png,polar bear,white,polar bear,white,False
polar bear,blue,3,a photo of a blue polar bear,polar_bear/blue/seed_0003.png,polar bear,white,polar bear,white,False
polar bear,blue,4,a photo of a blue polar bear,polar_bear/blue/seed_0004.png,polar bear,white,polar bear,white,False
polar bear,blue,5,a photo of a blue polar bear,polar_bear/blue/seed_0005.png,polar bear,blue,polar bear,blue,True
polar bear,blue,6,a photo of a blue polar bear,polar_bear/blue/seed_0006.png,polar bear,white,polar bear,white,False
polar bear,blue,7,a photo of a blue polar bear,polar_bear/blue/seed_0007.png,polar bear,white,polar bear,white,False
polar bear,blue,8,a photo of a blue polar bear,polar_bear/blue/seed_0008.png,polar bear,white,polar bear,white,False
polar bear,blue,9,a photo of a blue polar bear,polar_bear/blue/seed_0009.png,polar bear,white,polar bear,white,False
polar bear,blue,10,a photo of a blue polar bear,polar_bear/blue/seed_0010.png,polar bear,white,polar bear,white,False
polar bear,blue,11,a photo of a blue polar bear,polar_bear/blue/seed_0011.png,polar bear,white,polar bear,white,False
polar bear,blue,12,a photo of a blue polar bear,polar_bear/blue/seed_0012.png,polar bear,white,polar bear,white,False
polar bear,blue,13,a photo of a blue polar bear,polar_bear/blue/seed_0013.png,polar bear,white,polar bear,white,False
polar bear,blue,14,a photo of a blue polar bear,polar_bear/blue/seed_0014.png,polar bear,white,polar bear,white,False
polar bear,blue,15,a photo of a blue polar bear,polar_bear/blue/seed_0015.png,polar bear,white,polar bear,white,False
polar bear,blue,16,a photo of a blue polar bear,polar_bear/blue/seed_0016.png,polar bear,white,polar bear,white,False
polar bear,blue,17,a photo of a blue polar bear,polar_bear/blue/seed_0017.png,polar bear,white,polar bear,white,False
polar bear,blue,18,a photo of a blue polar bear,polar_bear/blue/seed_0018.png,polar bear,white,polar bear,white,False
polar bear,blue,19,a photo of a blue polar bear,polar_bear/blue/seed_0019.png,polar bear,white,polar bear,white,False
polar bear,blue,20,a photo of a blue polar bear,polar_bear/blue/seed_0020.png,polar bear,white,polar bear,white,False
polar bear,blue,21,a photo of a blue polar bear,polar_bear/blue/seed_0021.png,polar bear,white,polar bear,white,False
polar bear,blue,22,a photo of a blue polar bear,polar_bear/blue/seed_0022.png,polar bear,white,polar bear,white,False
polar bear,blue,23,a photo of a blue polar bear,polar_bear/blue/seed_0023.png,polar bear,white,polar bear,white,False
polar bear,blue,24,a photo of a blue polar bear,polar_bear/blue/seed_0024.png,polar bear,white,polar bear,white,False
polar bear,blue,25,a photo of a blue polar bear,polar_bear/blue/seed_0025.png,polar bear,white,polar bear,white,False
polar bear,blue,26,a photo of a blue polar bear,polar_bear/blue/seed_0026.png,polar bear,white,polar bear,white,False
polar bear,blue,27,a photo of a blue polar bear,polar_bear/blue/seed_0027.png,polar bear,white,polar bear,white,False
polar bear,blue,28,a photo of a blue polar bear,polar_bear/blue/seed_0028.png,polar bear,white,polar bear,white,False
polar bear,blue,29,a photo of a blue polar bear,polar_bear/blue/seed_0029.png,polar bear,white,polar bear,white,False
polar bear,yellow,0,a photo of a yellow polar bear,polar_bear/yellow/seed_0000.png,polar bear,white,polar bear,white,False
polar bear,yellow,1,a photo of a yellow polar bear,polar_bear/yellow/seed_0001.png,polar bear,white,polar bear,white,False
polar bear,yellow,2,a photo of a yellow polar bear,polar_bear/yellow/seed_0002.png,polar bear,white,polar bear,white,False
polar bear,yellow,3,a photo of a yellow polar bear,polar_bear/yellow/seed_0003.png,polar bear,white,polar bear,white,False
